index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence,bestFirstAngle,bestFirstConfidence,unanimousAngle,unanimousConfidence,weightedAngle,weightedConfidence
1,-1.30,-1.30,1.00,-1.30,0.59,0.90,0.01,-1.30,1.00,-0.57,0.02,-1.29,0.95
1,-1.20,-1.20,1.00,-1.20,0.59,1.10,0.01,-1.20,1.00,-0.43,-0.02,-1.18,0.94
1,-1.10,-1.10,0.82,-1.10,0.59,1.40,0.01,-1.10,0.82,-0.27,-0.11,-1.07,0.93
1,-1.00,-1.00,0.83,-1.00,0.59,0.70,0.01,-1.00,0.83,-0.43,0.24,-0.99,0.96
1,-0.90,-0.90,0.79,-0.90,0.59,-2.00,0.00,-0.90,0.79,-1.27,0.51,-0.90,0.99
1,-0.80,-0.80,0.83,-0.80,0.59,1.60,0.01,-0.80,0.83,0.00,-0.07,-0.79,0.96
1,-0.70,-0.70,0.86,-0.70,0.59,1.80,0.01,-0.70,0.86,0.13,-0.11,-0.68,0.95
1,-0.60,-0.60,1.00,-0.60,0.59,-1.60,0.01,-0.60,1.00,-0.93,0.56,-0.61,0.98
1,-0.50,-0.50,1.00,-0.50,0.59,-1.60,0.01,-0.50,1.00,-0.87,0.51,-0.50,0.99
1,-0.40,-0.40,1.00,-0.40,0.59,-1.10,0.01,-0.40,1.00,-0.63,0.69,-0.40,0.99
1,-0.30,-0.30,1.00,-0.30,0.60,-1.40,0.01,-0.30,1.00,-0.67,0.51,-0.31,0.98
1,-0.20,-0.20,1.00,-0.20,0.59,-1.00,0.01,-0.20,1.00,-0.47,0.64,-0.20,0.98
1,-0.10,-0.10,1.00,-0.10,0.60,-0.90,0.01,-0.10,1.00,-0.37,0.64,-0.11,0.98
1,-0.00,0.00,1.00,-0.10,0.59,-0.80,0.01,0.00,1.00,-0.30,0.67,-0.04,0.92
1,0.10,0.10,0.87,0.10,0.60,-1.20,0.01,0.10,0.87,-0.33,0.42,0.09,0.98
1,0.20,0.20,0.90,0.20,0.59,-0.60,0.01,0.20,0.90,-0.07,0.64,0.20,0.99
1,0.30,0.30,0.85,0.30,0.60,-1.00,0.01,0.30,0.85,-0.13,0.42,0.29,0.97
1,0.40,0.40,0.91,0.40,0.59,-0.50,0.01,0.40,0.91,0.10,0.60,0.39,0.98
1,0.50,0.50,0.83,0.50,0.59,-0.20,0.01,0.50,0.83,0.27,0.69,0.50,0.99
1,0.60,0.60,0.81,0.60,0.59,-0.20,0.01,0.60,0.81,0.33,0.64,0.59,0.98
1,0.70,0.70,1.00,0.70,0.59,0.00,0.01,0.70,1.00,0.47,0.69,0.69,0.98
1,0.80,0.80,1.00,0.80,0.59,3.20,0.01,0.80,1.00,1.60,-0.07,0.82,0.95
1,0.90,0.90,1.00,0.90,0.59,3.20,0.01,0.90,1.00,1.67,-0.02,0.92,0.95
1,1.00,1.00,1.00,1.00,0.59,3.20,0.01,1.00,1.00,1.73,0.02,1.01,0.96
1,1.10,1.10,1.00,1.10,0.59,0.40,0.01,1.10,1.00,0.87,0.69,1.10,0.99
1,1.20,1.20,1.00,1.20,0.59,0.40,0.01,1.20,1.00,0.93,0.64,1.19,0.98
1,1.30,1.30,1.00,1.30,0.59,0.40,0.01,1.30,1.00,1.00,0.60,1.29,0.98
1,1.40,1.40,0.77,1.40,0.59,0.40,0.01,1.40,0.77,1.07,0.56,1.39,0.98
1,1.50,1.50,0.88,1.50,0.59,0.40,0.01,1.50,0.88,1.13,0.51,1.49,0.98
1,1.60,1.60,0.92,1.60,0.58,3.90,0.01,1.60,0.92,2.37,-0.02,1.62,0.93
1,1.70,1.70,0.91,1.70,0.59,1.30,0.01,1.70,0.91,1.57,0.82,1.70,0.99
1,1.80,1.80,0.83,1.80,0.59,1.00,0.01,1.80,0.83,1.53,0.64,1.79,0.98
1,1.90,1.90,1.00,1.90,0.59,1.30,0.01,1.90,1.00,1.70,0.73,1.90,0.99
1,2.00,2.00,1.00,2.00,0.59,1.00,0.01,2.00,1.00,1.67,0.56,1.99,0.98
1,2.10,2.10,1.00,2.10,0.59,1.20,0.01,2.10,1.00,1.80,0.60,2.09,0.97
1,2.20,2.20,1.00,2.20,0.59,1.20,0.01,2.20,1.00,1.87,0.56,2.19,0.97
1,2.30,2.30,1.00,2.30,0.59,1.20,0.01,2.30,1.00,1.93,0.51,2.29,0.98
1,2.40,2.40,1.00,2.40,0.59,1.40,0.01,2.40,1.00,2.07,0.56,2.40,0.99
1,2.50,2.50,1.00,2.50,0.59,1.60,0.01,2.50,1.00,2.20,0.60,2.49,0.98
1,2.60,2.60,0.87,2.60,0.59,1.60,0.01,2.60,0.87,2.27,0.56,2.59,0.98
1,2.70,2.70,0.84,2.70,0.59,2.00,0.01,2.70,0.84,2.47,0.69,2.69,0.98
1,2.80,2.80,0.85,2.80,0.59,1.80,0.01,2.80,0.85,2.47,0.56,2.79,0.98
1,2.90,2.90,0.79,2.90,0.59,2.50,0.01,2.90,0.79,2.77,0.82,2.90,0.99
1,3.00,3.00,1.00,3.00,0.59,2.90,0.01,3.00,1.00,2.97,0.96,3.00,1.00
1,3.10,3.10,1.00,3.10,0.59,2.20,0.01,3.10,1.00,2.80,0.60,3.09,0.97
1,3.20,3.20,1.00,3.20,0.59,3.30,0.02,3.20,1.00,3.23,0.96,3.20,1.00
1,3.30,3.30,1.00,3.30,0.59,2.60,0.02,3.30,1.00,3.07,0.69,3.29,0.97
1,3.40,3.40,1.00,3.40,0.59,2.10,0.01,3.40,1.00,2.97,0.42,3.39,0.97
1,3.50,3.50,1.00,3.50,0.59,2.80,0.01,3.50,1.00,3.27,0.69,3.49,0.98
1,3.60,3.60,1.00,3.60,0.59,3.20,0.01,3.60,1.00,3.47,0.82,3.60,0.99
1,3.70,3.70,1.00,3.70,0.59,2.50,0.01,3.70,1.00,3.30,0.47,3.69,0.97
1,3.80,3.80,0.89,3.80,0.59,3.50,0.01,3.80,0.89,3.70,0.87,3.80,0.99
1,3.90,3.90,0.83,3.90,0.59,3.10,0.01,3.90,0.83,3.63,0.64,3.89,0.98
1,4.00,4.00,0.85,4.00,0.59,3.00,0.02,4.00,0.85,3.67,0.56,3.99,0.97
1,4.10,4.10,0.91,4.10,0.59,3.70,0.02,4.10,0.91,3.97,0.82,4.09,0.98
1,4.20,4.20,1.00,4.20,0.59,4.10,0.01,4.20,1.00,4.17,0.96,4.20,1.00
1,4.30,4.30,1.00,4.30,0.59,3.90,0.01,4.30,1.00,4.17,0.82,4.30,0.99
1,4.40,4.40,1.00,4.40,0.59,3.50,0.01,4.40,1.00,4.10,0.60,4.39,0.98
1,4.50,4.50,1.00,4.50,0.60,3.60,0.02,4.50,1.00,4.20,0.60,4.49,0.97
1,4.60,4.60,1.00,4.60,0.60,3.60,0.01,4.60,1.00,4.27,0.56,4.59,0.97
1,4.70,4.70,1.00,4.70,0.60,3.80,0.02,4.70,1.00,4.40,0.60,4.69,0.97
1,4.80,4.80,1.00,4.80,0.60,3.90,0.02,4.80,1.00,4.50,0.60,4.79,0.97
1,4.90,4.90,1.00,4.90,0.60,3.80,0.02,4.90,1.00,4.53,0.51,4.89,0.96
1,5.00,5.00,0.88,5.00,0.61,4.80,0.02,5.00,0.88,4.93,0.91,5.00,0.99
2,-5.00,-4.90,1.00,-5.00,0.61,-4.90,0.01,-4.90,1.00,-4.93,0.96,-4.94,0.92
2,-4.90,-4.90,1.00,-4.90,0.60,-4.80,0.01,-4.90,1.00,-4.87,0.96,-4.90,1.00
2,-4.80,-4.80,1.00,-4.80,0.60,-4.80,0.01,-4.80,1.00,-4.80,1.00,-4.80,1.00
2,-4.70,-4.70,1.00,-4.70,0.59,-4.50,0.01,-4.70,1.00,-4.63,0.91,-4.70,0.99
2,-4.60,-4.60,1.00,-4.60,0.59,-4.60,0.01,-4.60,1.00,-4.60,1.00,-4.60,1.00
2,-4.50,-4.50,0.91,-4.50,0.59,-4.50,0.01,-4.50,0.91,-4.50,1.00,-4.50,1.00
2,-4.40,-4.40,1.00,-4.40,0.59,-4.30,0.01,-4.40,1.00,-4.37,0.96,-4.40,1.00
2,-4.30,-4.30,1.00,-4.30,0.59,-4.30,0.01,-4.30,1.00,-4.30,1.00,-4.30,1.00
2,-4.20,-4.20,1.00,-4.20,0.59,-4.10,0.01,-4.20,1.00,-4.17,0.96,-4.20,1.00
2,-4.10,-4.10,0.91,-4.10,0.59,-3.80,0.01,-4.10,0.91,-4.00,0.87,-4.10,0.99
2,-4.00,-4.00,1.00,-4.00,0.59,-4.00,0.01,-4.00,1.00,-4.00,1.00,-4.00,1.00
2,-3.90,-3.90,1.00,-3.90,0.58,-3.80,0.01,-3.90,1.00,-3.87,0.96,-3.90,1.00
2,-3.80,-3.80,1.00,-3.80,0.59,-3.80,0.01,-3.80,1.00,-3.80,1.00,-3.80,1.00
2,-3.70,-3.70,0.90,-3.70,0.58,-3.80,0.01,-3.70,0.90,-3.73,0.96,-3.70,1.00
2,-3.60,-3.60,1.00,-3.60,0.58,-3.30,0.01,-3.60,1.00,-3.50,0.87,-3.60,1.00
2,-3.50,-3.50,1.00,-3.50,0.58,-3.30,0.01,-3.50,1.00,-3.43,0.91,-3.50,1.00
2,-3.40,-3.40,1.00,-3.40,0.58,-3.40,0.01,-3.40,1.00,-3.40,1.00,-3.40,1.00
2,-3.30,-3.30,1.00,-3.30,0.58,-3.30,0.01,-3.30,1.00,-3.30,1.00,-3.30,1.00
2,-3.20,-3.20,0.84,-3.20,0.59,-1.60,0.01,-3.20,0.84,-2.67,0.29,-3.19,0.96
2,-3.10,-3.10,1.00,-3.10,0.58,-3.20,0.01,-3.10,1.00,-3.13,0.96,-3.10,1.00
2,-3.00,-3.00,0.91,-3.00,0.58,-2.80,0.01,-3.00,0.91,-2.93,0.91,-3.00,0.99
2,-2.90,-2.90,1.00,-2.90,0.58,-2.80,0.01,-2.90,1.00,-2.87,0.96,-2.90,1.00
2,-2.80,-2.80,1.00,-2.80,0.58,-2.80,0.01,-2.80,1.00,-2.80,1.00,-2.80,1.00
2,-2.70,-2.70,0.91,-2.70,0.58,-2.50,0.01,-2.70,0.91,-2.63,0.91,-2.70,1.00
2,-2.60,-2.60,1.00,-2.60,0.59,-2.50,0.01,-2.60,1.00,-2.57,0.96,-2.60,1.00
2,-2.50,-2.50,1.00,-2.50,0.58,-2.60,0.01,-2.50,1.00,-2.53,0.96,-2.50,1.00
2,-2.40,-2.40,0.90,-2.40,0.58,-2.30,0.01,-2.40,0.90,-2.37,0.96,-2.40,1.00
2,-2.30,-2.30,1.00,-2.30,0.58,-0.40,0.01,-2.30,1.00,-1.67,0.16,-2.29,0.97
2,-2.20,-2.20,1.00,-2.20,0.58,0.80,0.01,-2.20,1.00,-1.20,-0.33,-2.18,0.94
2,-2.10,-2.10,0.84,-2.10,0.58,-2.20,0.01,-2.10,0.84,-2.13,0.96,-2.10,1.00
2,-2.00,-2.00,1.00,-2.00,0.58,-1.30,0.01,-2.00,1.00,-1.77,0.69,-2.00,0.98
2,-1.90,-1.90,1.00,-1.90,0.58,-1.70,0.01,-1.90,1.00,-1.83,0.91,-1.90,1.00
2,-1.80,-1.80,1.00,-1.80,0.58,-1.80,0.01,-1.80,1.00,-1.80,1.00,-1.80,1.00
2,-1.70,-1.70,1.00,-1.70,0.58,-1.40,0.01,-1.70,1.00,-1.60,0.87,-1.70,0.99
2,-1.60,-1.60,1.00,-1.60,0.58,-1.40,0.01,-1.60,1.00,-1.53,0.91,-1.60,0.99
2,-1.50,-1.50,0.92,-1.50,0.58,-1.60,0.01,-1.50,0.92,-1.53,0.96,-1.50,1.00
2,-1.40,-1.40,1.00,-1.40,0.59,-1.30,0.02,-1.40,1.00,-1.37,0.96,-1.40,1.00
2,-1.30,-1.30,1.00,-1.30,0.58,-1.30,0.01,-1.30,1.00,-1.30,1.00,-1.30,1.00
2,-1.20,-1.20,1.00,-1.20,0.58,-1.10,0.01,-1.20,1.00,-1.17,0.96,-1.20,1.00
2,-1.10,-1.10,1.00,-1.10,0.59,-1.00,0.01,-1.10,1.00,-1.07,0.96,-1.10,1.00
2,-1.00,-1.00,1.00,-1.00,0.59,-0.80,0.01,-1.00,1.00,-0.93,0.91,-1.00,1.00
2,-0.90,-0.90,1.00,-0.90,0.59,-0.90,0.01,-0.90,1.00,-0.90,1.00,-0.90,1.00
2,-0.80,-0.80,1.00,-0.80,0.59,-0.60,0.01,-0.80,1.00,-0.73,0.91,-0.80,1.00
2,-0.70,-0.70,0.90,-0.70,0.58,-0.30,0.01,-0.70,0.90,-0.57,0.82,-0.70,0.99
2,-0.60,-0.60,1.00,-0.60,0.59,-0.50,0.01,-0.60,1.00,-0.57,0.96,-0.60,1.00
2,-0.50,-0.50,1.00,-0.50,0.58,-0.60,0.01,-0.50,1.00,-0.53,0.96,-0.50,1.00
2,-0.40,-0.40,1.00,-0.40,0.59,2.70,0.01,-0.40,1.00,0.63,-0.38,-0.38,0.95
2,-0.30,-0.30,1.00,-0.30,0.59,3.00,0.01,-0.30,1.00,0.80,-0.47,-0.27,0.91
2,-0.20,-0.20,1.00,-0.20,0.59,0.10,0.01,-0.20,1.00,-0.10,0.87,-0.20,0.99
2,-0.10,-0.10,1.00,0.00,0.60,0.00,0.02,-0.10,1.00,-0.03,0.96,-0.06,0.92
2,-0.00,0.00,1.00,-0.10,0.57,0.20,0.01,0.00,1.00,0.03,0.89,-0.04,0.93
2,0.10,0.10,1.00,0.00,0.60,0.10,0.01,0.10,1.00,0.07,0.96,0.06,0.92
2,0.20,0.20,1.00,0.20,0.59,3.50,0.01,0.20,1.00,1.30,-0.47,0.23,0.92
2,0.30,0.30,1.00,0.30,0.59,-1.30,0.01,0.30,1.00,-0.23,0.29,0.29,0.97
2,0.40,0.40,1.00,0.40,0.59,0.20,0.01,0.40,1.00,0.33,0.91,0.40,1.00
2,0.50,0.50,1.00,0.50,0.58,2.50,0.01,0.50,1.00,1.17,0.11,0.52,0.95
2,0.60,0.60,1.00,0.60,0.59,0.30,0.01,0.60,1.00,0.50,0.87,0.60,0.99
2,0.70,0.70,1.00,0.70,0.59,0.50,0.01,0.70,1.00,0.63,0.91,0.70,0.99
2,0.80,0.80,1.00,0.80,0.59,1.30,0.01,0.80,1.00,0.97,0.78,0.80,0.99
2,0.90,0.90,1.00,0.90,0.59,0.80,0.01,0.90,1.00,0.87,0.96,0.90,1.00
2,1.00,1.00,1.00,1.00,0.59,0.90,0.01,1.00,1.00,0.97,0.96,1.00,1.00
2,1.10,1.10,1.00,1.10,0.59,1.20,0.01,1.10,1.00,1.13,0.96,1.10,1.00
2,1.20,1.20,1.00,1.20,0.58,1.50,0.01,1.20,1.00,1.30,0.87,1.20,0.99
2,1.30,1.30,1.00,1.30,0.58,1.50,0.01,1.30,1.00,1.37,0.91,1.30,1.00
2,1.40,1.40,1.00,1.40,0.59,1.00,0.01,1.40,1.00,1.27,0.82,1.40,0.99
2,1.50,1.50,1.00,1.50,0.58,1.30,0.01,1.50,1.00,1.43,0.91,1.50,0.99
2,1.60,1.60,1.00,1.60,0.58,1.50,0.01,1.60,1.00,1.57,0.96,1.60,1.00
2,1.70,1.70,1.00,1.70,0.58,1.60,0.02,1.70,1.00,1.67,0.96,1.70,1.00
2,1.80,1.80,1.00,1.80,0.58,1.80,0.01,1.80,1.00,1.80,1.00,1.80,1.00
2,1.90,1.90,1.00,1.90,0.58,1.90,0.01,1.90,1.00,1.90,1.00,1.90,1.00
2,2.00,2.00,1.00,2.00,0.59,1.90,0.01,2.00,1.00,1.97,0.96,2.00,1.00
2,2.10,2.10,1.00,2.10,0.58,2.00,0.01,2.10,1.00,2.07,0.96,2.10,1.00
2,2.20,2.20,1.00,2.20,0.59,2.30,0.01,2.20,1.00,2.23,0.96,2.20,1.00
2,2.30,2.30,1.00,2.30,0.58,2.60,0.01,2.30,1.00,2.40,0.87,2.30,0.99
2,2.40,2.40,0.90,2.40,0.59,2.30,0.01,2.40,0.90,2.37,0.96,2.40,1.00
2,2.50,2.50,1.00,2.50,0.58,2.40,0.01,2.50,1.00,2.47,0.96,2.50,1.00
2,2.60,2.60,1.00,2.60,0.59,2.50,0.01,2.60,1.00,2.57,0.96,2.60,1.00
2,2.70,2.70,1.00,2.70,0.59,2.40,0.01,2.70,1.00,2.60,0.87,2.70,0.99
2,2.80,2.80,1.00,2.80,0.59,3.90,0.01,2.80,1.00,3.17,0.51,2.81,0.97
2,2.90,2.90,1.00,2.90,0.58,2.80,0.01,2.90,1.00,2.87,0.96,2.90,1.00
2,3.00,3.00,1.00,3.00,0.59,3.20,0.01,3.00,1.00,3.07,0.91,3.00,1.00
2,3.10,3.10,1.00,3.10,0.59,3.10,0.01,3.10,1.00,3.10,1.00,3.10,1.00
2,3.20,3.20,1.00,3.20,0.59,3.10,0.01,3.20,1.00,3.17,0.96,3.20,1.00
2,3.30,3.30,0.84,3.30,0.59,3.10,0.02,3.30,0.84,3.23,0.91,3.30,0.99
2,3.40,3.40,1.00,3.40,0.58,3.30,0.01,3.40,1.00,3.37,0.96,3.40,1.00
2,3.50,3.50,1.00,3.50,0.59,3.40,0.02,3.50,1.00,3.47,0.96,3.50,1.00
2,3.60,3.60,1.00,3.60,0.59,3.50,0.02,3.60,1.00,3.57,0.96,3.60,1.00
2,3.70,3.70,1.00,3.70,0.59,3.60,0.01,3.70,1.00,3.67,0.96,3.70,1.00
2,3.80,3.80,1.00,3.80,0.59,3.70,0.01,3.80,1.00,3.77,0.96,3.80,1.00
2,3.90,3.90,1.00,3.90,0.59,3.90,0.01,3.90,1.00,3.90,1.00,3.90,1.00
2,4.00,4.00,1.00,4.00,0.59,4.10,0.02,4.00,1.00,4.03,0.96,4.00,1.00
2,4.10,4.10,1.00,4.10,0.59,3.90,0.02,4.10,1.00,4.03,0.91,4.10,0.99
2,4.20,4.20,1.00,4.20,0.59,4.00,0.02,4.20,1.00,4.13,0.91,4.20,0.99
2,4.30,4.30,1.00,4.30,0.59,4.30,0.01,4.30,1.00,4.30,1.00,4.30,1.00
2,4.40,4.40,1.00,4.40,0.59,4.30,0.01,4.40,1.00,4.37,0.96,4.40,1.00
2,4.50,4.50,1.00,4.50,0.59,4.40,0.01,4.50,1.00,4.47,0.96,4.50,1.00
2,4.60,4.60,1.00,4.60,0.59,4.60,0.01,4.60,1.00,4.60,1.00,4.60,1.00
2,4.70,4.70,1.00,4.70,0.60,4.50,0.02,4.70,1.00,4.63,0.91,4.70,0.99
2,4.80,4.80,1.00,4.80,0.60,4.90,0.02,4.80,1.00,4.83,0.96,4.80,1.00
2,4.90,4.90,1.00,4.90,0.60,5.00,0.02,4.90,1.00,4.93,0.96,4.90,1.00
2,5.00,5.00,0.89,5.00,0.61,5.00,0.01,5.00,0.89,5.00,1.00,5.00,1.00
3,-5.00,-4.90,1.00,-5.00,0.60,-4.90,0.01,-4.90,1.00,-4.93,0.96,-4.94,0.92
3,-4.90,-4.90,1.00,-4.90,0.59,-4.00,0.01,-4.90,1.00,-4.60,0.60,-4.90,0.99
3,-4.80,-4.80,1.00,-4.80,0.59,-4.60,0.01,-4.80,1.00,-4.73,0.91,-4.80,1.00
3,-4.70,-4.70,1.00,-4.70,0.58,-4.70,0.01,-4.70,1.00,-4.70,1.00,-4.70,1.00
3,-4.60,-4.60,1.00,-4.60,0.58,-4.90,0.01,-4.60,1.00,-4.70,0.87,-4.60,0.99
3,-4.50,-4.50,1.00,-4.50,0.58,-4.00,0.01,-4.50,1.00,-4.33,0.78,-4.50,0.99
3,-4.40,-4.40,1.00,-4.40,0.58,-4.90,0.01,-4.40,1.00,-4.57,0.78,-4.40,0.99
3,-4.30,-4.30,1.00,-4.30,0.58,-4.30,0.01,-4.30,1.00,-4.30,1.00,-4.30,1.00
3,-4.20,-4.20,1.00,-4.20,0.58,-4.60,0.01,-4.20,1.00,-4.33,0.82,-4.20,0.99
3,-4.10,-4.10,1.00,-4.10,0.58,-4.00,0.01,-4.10,1.00,-4.07,0.96,-4.10,1.00
3,-4.00,-4.00,1.00,-4.00,0.58,-4.20,0.01,-4.00,1.00,-4.07,0.91,-4.00,0.99
3,-3.90,-3.90,1.00,-3.90,0.58,-3.70,0.01,-3.90,1.00,-3.83,0.91,-3.90,0.99
3,-3.80,-3.80,1.00,-3.80,0.58,-3.90,0.01,-3.80,1.00,-3.83,0.96,-3.80,1.00
3,-3.70,-3.70,0.91,-3.70,0.58,-4.00,0.01,-3.70,0.91,-3.80,0.87,-3.70,0.99
3,-3.60,-3.60,1.00,-3.60,0.58,-3.00,0.01,-3.60,1.00,-3.40,0.73,-3.60,0.99
3,-3.50,-3.50,1.00,-3.50,0.58,-3.20,0.01,-3.50,1.00,-3.40,0.87,-3.50,0.99
3,-3.40,-3.40,1.00,-3.40,0.58,-2.90,0.01,-3.40,1.00,-3.23,0.78,-3.40,0.99
3,-3.30,-3.30,1.00,-3.30,0.58,-3.30,0.01,-3.30,1.00,-3.30,1.00,-3.30,1.00
3,-3.20,-3.20,1.00,-3.20,0.58,-3.10,0.01,-3.20,1.00,-3.17,0.96,-3.20,1.00
3,-3.10,-3.10,1.00,-3.10,0.58,-3.60,0.01,-3.10,1.00,-3.27,0.78,-3.10,0.99
3,-3.00,-3.00,1.00,-3.00,0.58,-3.40,0.01,-3.00,1.00,-3.13,0.82,-3.00,0.99
3,-2.90,-2.90,1.00,-2.90,0.58,-3.10,0.01,-2.90,1.00,-2.97,0.91,-2.90,1.00
3,-2.80,-2.80,1.00,-2.80,0.58,-2.40,0.01,-2.80,1.00,-2.67,0.82,-2.80,0.99
3,-2.70,-2.70,1.00,-2.70,0.58,-2.70,0.01,-2.70,1.00,-2.70,1.00,-2.70,1.00
3,-2.60,-2.60,1.00,-2.60,0.58,-3.10,0.01,-2.60,1.00,-2.77,0.78,-2.60,0.99
3,-2.50,-2.50,1.00,-2.50,0.58,-2.30,0.01,-2.50,1.00,-2.43,0.91,-2.50,1.00
3,-2.40,-2.40,1.00,-2.40,0.58,-4.30,0.01,-2.40,1.00,-3.03,0.16,-2.41,0.96
3,-2.30,-2.30,1.00,-2.30,0.58,-2.40,0.01,-2.30,1.00,-2.33,0.96,-2.30,1.00
3,-2.20,-2.20,1.00,-2.20,0.58,-1.90,0.01,-2.20,1.00,-2.10,0.87,-2.20,0.99
3,-2.10,-2.10,1.00,-2.10,0.58,-1.90,0.01,-2.10,1.00,-2.03,0.91,-2.10,1.00
3,-2.00,-2.00,1.00,-2.00,0.58,-2.50,0.01,-2.00,1.00,-2.17,0.78,-2.00,0.99
3,-1.90,-1.90,1.00,-1.90,0.58,-2.10,0.01,-1.90,1.00,-1.97,0.91,-1.90,1.00
3,-1.80,-1.80,0.92,-1.80,0.58,-0.30,0.01,-1.80,0.92,-1.30,0.33,-1.79,0.97
3,-1.70,-1.70,1.00,-1.70,0.57,1.60,0.01,-1.70,1.00,-0.60,-0.47,-1.68,0.93
3,-1.60,-1.60,1.00,-1.60,0.58,-1.70,0.01,-1.60,1.00,-1.63,0.96,-1.60,1.00
